date,value,series_id,series_name
1953-04-01,2.83,GS10,10-Year Treasury Constant Maturity Rate
1953-05-01,3.05,GS10,10-Year Treasury Constant Maturity Rate
1953-06-01,3.11,GS10,10-Year Treasury Constant Maturity Rate
1953-07-01,2.93,GS10,10-Year Treasury Constant Maturity Rate
1953-08-01,2.95,GS10,10-Year Treasury Constant Maturity Rate
1953-09-01,2.87,GS10,10-Year Treasury Constant Maturity Rate
1953-10-01,2.66,GS10,10-Year Treasury Constant Maturity Rate
1953-11-01,2.68,GS10,10-Year Treasury Constant Maturity Rate
1953-12-01,2.59,GS10,10-Year Treasury Constant Maturity Rate
1954-01-01,2.48,GS10,10-Year Treasury Constant Maturity Rate
1954-02-01,2.47,GS10,10-Year Treasury Constant Maturity Rate
1954-03-01,2.37,GS10,10-Year Treasury Constant Maturity Rate
1954-04-01,2.29,GS10,10-Year Treasury Constant Maturity Rate
1954-05-01,2.37,GS10,10-Year Treasury Constant Maturity Rate
1954-06-01,2.38,GS10,10-Year Treasury Constant Maturity Rate
1954-07-01,2.3,GS10,10-Year Treasury Constant Maturity Rate
1954-08-01,2.36,GS10,10-Year Treasury Constant Maturity Rate
1954-09-01,2.38,GS10,10-Year Treasury Constant Maturity Rate
1954-10-01,2.43,GS10,10-Year Treasury Constant Maturity Rate
1954-11-01,2.48,GS10,10-Year Treasury Constant Maturity Rate
1954-12-01,2.51,GS10,10-Year Treasury Constant Maturity Rate
1955-01-01,2.61,GS10,10-Year Treasury Constant Maturity Rate
1955-02-01,2.65,GS10,10-Year Treasury Constant Maturity Rate
1955-03-01,2.68,GS10,10-Year Treasury Constant Maturity Rate
1955-04-01,2.75,GS10,10-Year Treasury Constant Maturity Rate
1955-05-01,2.76,GS10,10-Year Treasury Constant Maturity Rate
1955-06-01,2.78,GS10,10-Year Treasury Constant Maturity Rate
1955-07-01,2.9,GS10,10-Year Treasury Constant Maturity Rate
1955-08-01,2.97,GS10,10-Year Treasury Constant Maturity Rate
1955-09-01,2.97,GS10,10-Year Treasury Constant Maturity Rate
1955-10-01,2.88,GS10,10-Year Treasury Constant Maturity Rate
1955-11-01,2.89,GS10,10-Year Treasury Constant Maturity Rate
1955-12-01,2.96,GS10,10-Year Treasury Constant Maturity Rate
1956-01-01,2.9,GS10,10-Year Treasury Constant Maturity Rate
1956-02-01,2.84,GS10,10-Year Treasury Constant Maturity Rate
1956-03-01,2.96,GS10,10-Year Treasury Constant Maturity Rate
1956-04-01,3.18,GS10,10-Year Treasury Constant Maturity Rate
1956-05-01,3.07,GS10,10-Year Treasury Constant Maturity Rate
1956-06-01,3.0,GS10,10-Year Treasury Constant Maturity Rate
1956-07-01,3.11,GS10,10-Year Treasury Constant Maturity Rate
1956-08-01,3.33,GS10,10-Year Treasury Constant Maturity Rate
1956-09-01,3.38,GS10,10-Year Treasury Constant Maturity Rate
1956-10-01,3.34,GS10,10-Year Treasury Constant Maturity Rate
1956-11-01,3.49,GS10,10-Year Treasury Constant Maturity Rate
1956-12-01,3.59,GS10,10-Year Treasury Constant Maturity Rate
1957-01-01,3.46,GS10,10-Year Treasury Constant Maturity Rate
1957-02-01,3.34,GS10,10-Year Treasury Constant Maturity Rate
1957-03-01,3.41,GS10,10-Year Treasury Constant Maturity Rate
1957-04-01,3.48,GS10,10-Year Treasury Constant Maturity Rate
1957-05-01,3.6,GS10,10-Year Treasury Constant Maturity Rate
1957-06-01,3.8,GS10,10-Year Treasury Constant Maturity Rate
1957-07-01,3.93,GS10,10-Year Treasury Constant Maturity Rate
1957-08-01,3.93,GS10,10-Year Treasury Constant Maturity Rate
1957-09-01,3.92,GS10,10-Year Treasury Constant Maturity Rate
1957-10-01,3.97,GS10,10-Year Treasury Constant Maturity Rate
1957-11-01,3.72,GS10,10-Year Treasury Constant Maturity Rate
1957-12-01,3.21,GS10,10-Year Treasury Constant Maturity Rate
1958-01-01,3.09,GS10,10-Year Treasury Constant Maturity Rate
1958-02-01,3.05,GS10,10-Year Treasury Constant Maturity Rate
1958-03-01,2.98,GS10,10-Year Treasury Constant Maturity Rate
1958-04-01,2.88,GS10,10-Year Treasury Constant Maturity Rate
