,run,params,runtime,wiki_all,error
0,0,"{""threshold"": 0.8, ""splash_threshold"": 0.85, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""zscore"", ""transform_dict"": null, ""forecast_params"": null, ""method_params"": {""distribution"": ""gamma"", ""alpha"": 0.05}}}",0.017595800000000494,1.0,KeyError('wiki_all')
1,1,"{""threshold"": 0.8, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": true, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""rolling_zscore"", ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""forecast_params"": null, ""method_params"": {""distribution"": ""gamma"", ""alpha"": 0.05, ""rolling_periods"": 200, ""center"": true}}}",0.018528700000000065,0.0,KeyError('wiki_all')
2,2,"{""threshold"": 0.8, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""IQR"", ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 6}}}, ""forecast_params"": null, ""method_params"": {""iqr_threshold"": 2.5, ""iqr_quantiles"": [0.25, 0.75]}}}",0.017862100000000325,0.0,KeyError('wiki_all')
3,3,"{""threshold"": 0.9, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": false, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": true, ""use_lunar_weekday"": false, ""use_islamic_holidays"": true, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""mad"", ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""forecast_params"": null, ""method_params"": {""distribution"": ""norm"", ""alpha"": 0.05}}}",0.03593829999999976,1.0,KeyError('wiki_all')
4,4,"{""threshold"": 0.8, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""rolling_zscore"", ""transform_dict"": null, ""forecast_params"": null, ""method_params"": {""distribution"": ""gamma"", ""alpha"": 0.05, ""rolling_periods"": 90, ""center"": true}}}",0.015738699999999994,1.0,KeyError('wiki_all')
5,5,"{""threshold"": 0.9, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""rolling_zscore"", ""transform_dict"": {""fillna"": ""ffill"", ""transformations"": {""0"": ""MaxAbsScaler"", ""1"": ""StandardScaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}, ""forecast_params"": null, ""method_params"": {""distribution"": ""chi2"", ""alpha"": 0.05, ""rolling_periods"": 90, ""center"": false}}}",0.01597869999999979,0.0,KeyError('wiki_all')
6,6,"{""threshold"": 0.8, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""mad"", ""transform_dict"": null, ""forecast_params"": null, ""method_params"": {""distribution"": ""chi2"", ""alpha"": 0.05}}}",0.016408599999999218,1.0,KeyError('wiki_all')
7,7,"{""threshold"": 0.8, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""IQR"", ""transform_dict"": {""transformations"": {""0"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}}}, ""forecast_params"": null, ""method_params"": {""iqr_threshold"": 2.0, ""iqr_quantiles"": [0.4, 0.6]}}}",0.01780000000000026,2.0,KeyError('wiki_all')
8,8,"{""threshold"": 0.9, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""rolling_zscore"", ""transform_dict"": null, ""forecast_params"": null, ""method_params"": {""distribution"": ""uniform"", ""alpha"": 0.05, ""rolling_periods"": 28, ""center"": true}}}",0.01850039999999975,8.0,KeyError('wiki_all')
9,9,"{""threshold"": 0.9, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""IQR"", ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""forecast_params"": null, ""method_params"": {""iqr_threshold"": 3.0, ""iqr_quantiles"": [0.25, 0.75]}}}",0.014675699999999736,0.0,KeyError('wiki_all')
